timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699553930919,593,HTTP Request,201,Created,Thread Group 1-1,text,true,,750,225,3,3,https://reqres.in/api/users,589,0,439
1699553931081,431,HTTP Request,201,Created,Thread Group 1-2,text,true,,930,225,3,3,https://reqres.in/api/users,427,0,277
1699553931333,318,HTTP Request,201,Created,Thread Group 1-3,text,true,,930,225,2,2,https://reqres.in/api/users,318,0,169
1699553931579,313,HTTP Request,201,Created,Thread Group 1-4,text,true,,745,225,2,2,https://reqres.in/api/users,313,0,174
1699553931829,303,HTTP Request,201,Created,Thread Group 1-5,text,true,,930,225,2,2,https://reqres.in/api/users,303,0,161
1699553932079,291,HTTP Request,201,Created,Thread Group 1-6,text,true,,930,225,2,2,https://reqres.in/api/users,291,0,155
1699553932327,330,HTTP Request,201,Created,Thread Group 1-7,text,true,,930,225,2,2,https://reqres.in/api/users,330,0,170
1699553932576,301,HTTP Request,201,Created,Thread Group 1-8,text,true,,929,225,2,2,https://reqres.in/api/users,301,0,163
1699553932829,307,HTTP Request,201,Created,Thread Group 1-9,text,true,,742,225,2,2,https://reqres.in/api/users,307,0,162
1699553933079,303,HTTP Request,201,Created,Thread Group 1-10,text,true,,930,225,2,2,https://reqres.in/api/users,302,0,167
1699553933327,312,HTTP Request,201,Created,Thread Group 1-11,text,true,,930,225,2,2,https://reqres.in/api/users,312,0,164
1699553933579,298,HTTP Request,201,Created,Thread Group 1-12,text,true,,930,225,2,2,https://reqres.in/api/users,298,0,162
1699553933827,314,HTTP Request,201,Created,Thread Group 1-13,text,true,,929,225,2,2,https://reqres.in/api/users,314,0,163
1699553934077,302,HTTP Request,201,Created,Thread Group 1-14,text,true,,746,225,2,2,https://reqres.in/api/users,302,0,159
1699553934326,313,HTTP Request,201,Created,Thread Group 1-15,text,true,,946,225,2,2,https://reqres.in/api/users,313,0,164
1699553934592,303,HTTP Request,201,Created,Thread Group 1-16,text,true,,752,225,2,2,https://reqres.in/api/users,303,0,163
1699553934843,318,HTTP Request,201,Created,Thread Group 1-17,text,true,,741,225,2,2,https://reqres.in/api/users,318,0,161
1699553935077,308,HTTP Request,201,Created,Thread Group 1-18,text,true,,746,225,2,2,https://reqres.in/api/users,308,0,154
1699553935327,322,HTTP Request,201,Created,Thread Group 1-19,text,true,,760,225,2,2,https://reqres.in/api/users,322,0,171
1699553935577,309,HTTP Request,201,Created,Thread Group 1-20,text,true,,742,225,1,1,https://reqres.in/api/users,309,0,163
